x(mm)	y(mm)	z(mm)	tan(thetaX)	tan(thetaY)	devZ(mm)	devTanX	devTanY
-320	1340	79.8462	-0.222600	-0.011058	-0.27445	0.01132003	-0.01105780
-320	1330	79.9267	-0.222677	-0.011038	-0.19396	0.01124240	-0.01103850
-320	1320	79.9437	-0.222682	-0.010771	-0.17698	0.01123790	-0.01077056
-320	1310	79.9399	-0.222437	-0.009765	-0.18078	0.01148320	-0.00976475
-320	1300	79.9476	-0.222188	-0.008614	-0.17303	0.01173185	-0.00861362
-320	1290	79.9508	-0.221907	-0.007333	-0.16984	0.01201279	-0.00733331
-320	1280	79.9517	-0.221604	-0.005951	-0.16898	0.01231547	-0.00595099
-320	1270	79.9434	-0.221360	-0.004701	-0.17722	0.01255939	-0.00470116
-320	1260	79.9499	-0.221359	-0.003557	-0.17073	0.01256079	-0.00355704
-320	1250	79.9543	-0.221480	-0.002440	-0.16633	0.01243994	-0.00243981
-320	1240	79.9496	-0.221640	-0.001345	-0.17100	0.01227938	-0.00134479
-320	1230	79.9473	-0.221742	-0.000598	-0.17330	0.01217734	-0.00059839
-320	1220	79.9456	-0.221741	-0.000400	-0.17505	0.01217874	-0.00039958
-320	1210	79.9585	-0.221750	-0.000191	-0.16216	0.01216975	-0.00019076
-320	1200	79.9552	-0.221648	0.000062	-0.16548	0.01227223	0.00006219
-320	1190	79.9450	-0.221548	0.000113	-0.17560	0.01237197	0.00011292
-320	1180	79.9351	-0.221337	0.000063	-0.18549	0.01258307	0.00006265
-320	1170	79.9376	-0.221026	0.000020	-0.18309	0.01289410	0.00002003
-320	1160	79.9593	-0.220739	-0.000156	-0.16130	0.01318097	-0.00015619
-320	1150	79.9481	-0.220434	-0.000343	-0.17258	0.01348550	-0.00034306
-320	1140	79.9351	-0.220215	-0.000583	-0.18557	0.01370526	-0.00058276
-320	1130	79.9247	-0.220072	-0.000484	-0.19593	0.01384752	-0.00048441
-320	1120	79.9360	-0.220002	-0.000083	-0.18459	0.01391785	-0.00008257
-320	1110	79.9527	-0.219986	0.000493	-0.16795	0.01393342	0.00049336
-320	1100	79.9459	-0.219831	0.000969	-0.17478	0.01408888	0.00096878
-320	1090	79.9276	-0.219681	0.001168	-0.19303	0.01423884	0.00116809
-320	1080	79.9287	-0.219630	0.001147	-0.19192	0.01428999	0.00114714
-320	1070	79.9351	-0.219544	0.000858	-0.18555	0.01437538	0.00085813
-320	1060	79.9369	-0.219407	0.000306	-0.18372	0.01451270	0.00030626
-320	1050	79.9296	-0.219320	-0.000379	-0.19104	0.01460000	-0.00037923
-320	1040	79.9227	-0.219360	-0.001081	-0.19791	0.01455956	-0.00108094
-320	1030	79.9236	-0.219489	-0.001674	-0.19707	0.01443098	-0.00167388
-320	1020	79.9083	-0.219626	-0.001958	-0.21238	0.01429380	-0.00195842
-320	1010	79.9100	-0.219827	-0.001890	-0.21059	0.01409243	-0.00188984
-320	1000	79.9237	-0.219944	-0.001505	-0.19698	0.01397583	-0.00150467
-320	990	79.9167	-0.219995	-0.001112	-0.20395	0.01392437	-0.00111201
-320	980	79.9053	-0.220052	-0.000684	-0.21536	0.01386808	-0.00068389
-320	970	79.9061	-0.220155	-0.000419	-0.21458	0.01376485	-0.00041902
-320	960	79.8886	-0.220343	-0.000399	-0.23201	0.01357660	-0.00039927
-320	950	79.8859	-0.220499	-0.000537	-0.23472	0.01342050	-0.00053747
-320	940	79.8954	-0.220735	-0.000878	-0.22524	0.01318502	-0.00087809
-320	930	79.8885	-0.220994	-0.001112	-0.23213	0.01292577	-0.00111231
-320	920	79.8892	-0.221231	-0.001349	-0.23145	0.01268833	-0.00134871
-320	910	79.8810	-0.221421	-0.001429	-0.23964	0.01249848	-0.00142880
-320	900	79.8756	-0.221583	-0.001188	-0.24507	0.01233726	-0.00118844
-320	890	79.8659	-0.221724	-0.000824	-0.25473	0.01219593	-0.00082444
-320	880	79.8616	-0.221847	-0.000445	-0.25908	0.01207250	-0.00044462
-320	870	79.8506	-0.221922	-0.000110	-0.27008	0.01199782	-0.00010997
-320	860	79.8610	-0.221995	0.000107	-0.25963	0.01192446	0.00010658
-320	850	79.8556	-0.222027	0.000430	-0.26506	0.01189317	0.00042991
-320	840	79.8481	-0.222047	0.000559	-0.27253	0.01187315	0.00055929
-320	830	79.8389	-0.222035	0.000655	-0.28173	0.01188439	0.00065488
-320	820	79.8279	-0.222019	0.000712	-0.29273	0.01190040	0.00071201
-320	810	79.8220	-0.222044	0.000882	-0.29860	0.01187551	0.00088206
-320	800	79.8212	-0.222009	0.001156	-0.29940	0.01191039	0.00115609
-320	790	79.8117	-0.221833	0.001517	-0.30895	0.01208716	0.00151687
-320	780	79.8213	-0.221695	0.001827	-0.29933	0.01222487	0.00182661
-320	770	79.8126	-0.221530	0.002057	-0.30808	0.01238943	0.00205658
-320	760	79.8089	-0.221362	0.002195	-0.31172	0.01255805	0.00219512
-320	750	79.7965	-0.221166	0.002400	-0.32412	0.01275396	0.00240007
-320	740	79.7940	-0.221038	0.002418	-0.32660	0.01288136	0.00241839
-320	730	79.7778	-0.220939	0.002289	-0.34282	0.01298064	0.00228874
-320	720	79.7717	-0.220752	0.002117	-0.34897	0.01316806	0.00211670
-320	710	79.7637	-0.220586	0.001843	-0.35695	0.01333409	0.00184277
-320	700	79.7607	-0.220445	0.001710	-0.35990	0.01347503	0.00171037
-320	690	79.7373	-0.220329	0.001539	-0.38333	0.01359095	0.00153937
-320	680	79.7285	-0.220213	0.001495	-0.39217	0.01370703	0.00149473
-320	670	79.7293	-0.220116	0.001508	-0.39133	0.01380340	0.00150789
-320	660	79.7329	-0.220044	0.001510	-0.38769	0.01387563	0.00151007
-320	650	79.7349	-0.219948	0.001383	-0.38577	0.01397139	0.00138260
-320	640	79.7186	-0.219869	0.001185	-0.40200	0.01405123	0.00118497
-320	630	79.7167	-0.219866	0.000984	-0.40392	0.01405345	0.00098434
-320	620	79.7087	-0.219869	0.000624	-0.41198	0.01405084	0.00062397
-320	610	79.7009	-0.219896	0.000181	-0.41972	0.01402345	0.00018102
-320	600	79.6935	-0.219898	-0.000246	-0.42711	0.01402224	-0.00024612
-320	590	79.6848	-0.219918	-0.000688	-0.43588	0.01400197	-0.00068786
-320	580	79.6738	-0.219989	-0.000990	-0.44681	0.01393118	-0.00098992
-320	570	79.6634	-0.220091	-0.001111	-0.45722	0.01382867	-0.00111136
-320	560	79.6375	-0.220237	-0.001095	-0.48315	0.01368263	-0.00109510
-320	550	79.6303	-0.220374	-0.000928	-0.49029	0.01354597	-0.00092781
-320	540	79.6123	-0.220543	-0.000954	-0.50830	0.01337675	-0.00095421
-320	530	79.6109	-0.220778	-0.000909	-0.50970	0.01314195	-0.00090863
-320	520	79.6053	-0.220994	-0.000910	-0.51529	0.01292624	-0.00091008
-320	510	79.6077	-0.221216	-0.000956	-0.51296	0.01270373	-0.00095580
-320	500	79.6124	-0.221461	-0.001118	-0.50819	0.01245909	-0.00111836
-320	490	79.5968	-0.221703	-0.001345	-0.52382	0.01221707	-0.00134493
-320	480	79.5983	-0.221973	-0.001419	-0.52236	0.01194660	-0.00141851
-320	470	79.5791	-0.222210	-0.001378	-0.54154	0.01170959	-0.00137792
-320	460	79.5699	-0.222454	-0.001210	-0.55072	0.01146553	-0.00120963
-320	450	79.5633	-0.222682	-0.000813	-0.55733	0.01123756	-0.00081291
-320	440	79.5573	-0.222899	-0.000310	-0.56329	0.01102076	-0.00030991
-320	430	79.5498	-0.223103	0.000188	-0.57083	0.01081697	0.00018826
-320	420	79.5309	-0.223251	0.000620	-0.58974	0.01066888	0.00062049
-320	410	79.5244	-0.223336	0.001009	-0.59624	0.01058378	0.00100867
-320	400	79.5203	-0.223400	0.001384	-0.60029	0.01052016	0.00138443
-320	390	79.5032	-0.223411	0.001571	-0.61747	0.01050883	0.00157097
-320	380	79.5098	-0.223397	0.001821	-0.61088	0.01052314	0.00182088
-320	370	79.4959	-0.223283	0.002083	-0.62476	0.01063725	0.00208315
-320	360	79.4803	-0.223118	0.002323	-0.64030	0.01080189	0.00232262
-320	350	79.4652	-0.222954	0.002478	-0.65547	0.01096578	0.00247767
-320	340	79.4506	-0.222784	0.002794	-0.67008	0.01113612	0.00279379
-320	330	79.4366	-0.222571	0.003133	-0.68405	0.01134909	0.00313271
-320	320	79.4229	-0.222298	0.003321	-0.69778	0.01162175	0.00332076
-320	310	79.4309	-0.222051	0.003441	-0.68977	0.01186875	0.00344113
-320	300	79.4228	-0.221818	0.003552	-0.69782	0.01210190	0.00355161
-320	290	79.4110	-0.221633	0.003560	-0.70966	0.01228639	0.00355992
-320	280	79.3995	-0.221493	0.003429	-0.72118	0.01242645	0.00342863
-320	270	79.3885	-0.221393	0.003096	-0.73213	0.01252679	0.00309643
-320	260	79.3782	-0.221309	0.002835	-0.74248	0.01261113	0.00283503
-320	250	79.3682	-0.221297	0.002523	-0.75247	0.01262279	0.00252261
-320	240	79.3358	-0.221331	0.002258	-0.78480	0.01258868	0.00225846
-320	230	79.3246	-0.221403	0.002276	-0.79602	0.01251728	0.00227580
-320	220	79.3164	-0.221453	0.002406	-0.80423	0.01246664	0.00240649
-320	210	79.3085	-0.221511	0.002539	-0.81212	0.01240927	0.00253892
