x(mm)	y(mm)	z(mm)	tan(thetaX)	tan(thetaY)	devZ(mm)	devTanX	devTanY
-300	1340	53.1291	-0.136790	-0.007318	-0.12941	0.00268047	-0.00731795
-300	1330	53.1287	-0.136635	-0.006852	-0.12978	0.00283554	-0.00685215
-300	1320	53.1217	-0.136372	-0.005993	-0.13682	0.00309901	-0.00599320
-300	1310	53.1134	-0.136128	-0.005200	-0.14506	0.00334277	-0.00520036
-300	1300	53.0911	-0.135877	-0.004241	-0.16736	0.00359406	-0.00424112
-300	1290	53.0712	-0.135651	-0.003116	-0.18726	0.00381982	-0.00311623
-300	1280	53.0688	-0.135441	-0.001841	-0.18969	0.00402943	-0.00184137
-300	1270	53.0581	-0.135253	-0.000681	-0.20040	0.00421776	-0.00068121
-300	1260	53.0408	-0.135171	0.000288	-0.21766	0.00429971	0.00028782
-300	1250	53.0241	-0.135252	0.001042	-0.23442	0.00421876	0.00104159
-300	1240	53.0193	-0.135435	0.001690	-0.23918	0.00403523	0.00168994
-300	1230	53.0064	-0.135584	0.001958	-0.25208	0.00388639	0.00195814
-300	1220	52.9923	-0.135748	0.001876	-0.26613	0.00372309	0.00187629
-300	1210	52.9806	-0.135900	0.001735	-0.27790	0.00357100	0.00173455
-300	1200	52.9705	-0.135939	0.001577	-0.28793	0.00353203	0.00157748
-300	1190	52.9639	-0.135866	0.001335	-0.29461	0.00360478	0.00133475
-300	1180	52.9476	-0.135865	0.001096	-0.31089	0.00360615	0.00109629
-300	1170	52.9378	-0.135967	0.000851	-0.32064	0.00350336	0.00085137
-300	1160	52.9241	-0.136051	0.000645	-0.33438	0.00341988	0.00064495
-300	1150	52.9223	-0.136148	0.000422	-0.33622	0.00332220	0.00042226
-300	1140	52.9123	-0.136346	0.000242	-0.34620	0.00312511	0.00024172
-300	1130	52.9003	-0.136572	0.000265	-0.35818	0.00289848	0.00026510
-300	1120	52.8887	-0.136821	0.000525	-0.36975	0.00264971	0.00052470
-300	1110	52.8818	-0.136955	0.001096	-0.37663	0.00251521	0.00109614
-300	1100	52.8726	-0.136983	0.001649	-0.38591	0.00248804	0.00164886
-300	1090	52.8595	-0.137001	0.002084	-0.39897	0.00246990	0.00208405
-300	1080	52.8486	-0.136953	0.002371	-0.40989	0.00251738	0.00237118
-300	1070	52.8424	-0.136849	0.002558	-0.41605	0.00262121	0.00255799
-300	1060	52.8452	-0.136671	0.002670	-0.41323	0.00280019	0.00267029
-300	1050	52.8372	-0.136428	0.002665	-0.42129	0.00304295	0.00266485
-300	1040	52.8254	-0.136146	0.002435	-0.43303	0.00332462	0.00243508
-300	1030	52.8142	-0.135865	0.001988	-0.44428	0.00360543	0.00198755
-300	1020	52.8037	-0.135669	0.001498	-0.45482	0.00380189	0.00149800
-300	1010	52.8035	-0.135515	0.001245	-0.45494	0.00395544	0.00124506
-300	1000	52.7938	-0.135304	0.001226	-0.46465	0.00416658	0.00122633
-300	990	52.7862	-0.135064	0.001428	-0.47231	0.00440672	0.00142830
-300	980	52.7805	-0.134817	0.001744	-0.47796	0.00465329	0.00174431
-300	970	52.7726	-0.134620	0.002009	-0.48588	0.00485032	0.00200924
